"id";"submitdate";"lastpage";"startlanguage";"seed";"startdate";"datestamp";"Q01";"Q02";"Q02[other]";"Q03";"Q03[other]";"Q04";"Q04[other]";"Q08[SQ001]";"Q08[SQ002]";"Q08[SQ003]";"Q08[SQ004]";"Q09[SQ001]";"Q09[SQ002]";"Q09[SQ003]";"E01Q01[SQ001]";"E01Q01[SQ002]";"E01Q01[SQ003]";"E01Q01[SQ004]";"E01Q01[SQ005]";"E01Q01[SQ006]";"E01Q01[SQ007]";"E01Q01[SQ008]";"E01Q01[SQ009]";"E01Q01[SQ010]";"E02Q01[SQ001]";"E02Q01[SQ002]";"E02Q01[SQ003]";"E02Q01[SQ004]";"E02Q01[SQ005]";"E02Q01[SQ006]";"E02Q01[SQ007]";"E02Q01[SQ008]";"E02Q01[SQ009]";"E02Q01[SQ010]";"E03Q01[SQ001]";"E03Q01[SQ002]";"E03Q01[SQ003]";"E03Q01[SQ004]";"E03Q01[SQ005]";"E03Q01[SQ006]";"E03Q01[SQ007]";"E03Q01[SQ008]";"E03Q01[SQ009]";"E03Q01[SQ010]";"Q99";"interviewtime";"groupTime281";"Q01Time";"Q02Time";"Q03Time";"Q04Time";"Q08Time";"Q09Time";"groupTime282";"E01Q01Time";"groupTime283";"E02Q01Time";"groupTime284";"E03Q01Time";"groupTime285";"Q99Time"
"1";"2019-07-09 14:05:07";"5";"en";"546485960";"2019-07-09 13:30:32";"2019-07-09 14:05:07";"25";"Male";"";"Master's degree (MA)";"";"Other";"Physics";"More than once per day";"More than once per day";"One to three times a week";"Not once";"2";"2";"4";"3";"1";"5";"1";"4";"2";"4";"2";"5";"1";"3";"1";"5";"1";"4";"2";"5";"1";"5";"1";"2";"1";"4";"1";"4";"2";"3";"3";"3";"1";"Virtual Keyboard:
It might be useful to be able to use multiple fingers at once for typing.
Holding to select was cumbersome to use. An implementation like the Swift-Keyboard for Android might a better one.";"2077.51";"214.14";"";"";"";"";"";"";"657.02";"";"412.8";"";"689.99";"";"103.56";""
"4";"2019-07-09 15:21:53";"5";"en";"1522901796";"2019-07-09 15:04:08";"2019-07-09 15:21:53";"25";"Male";"";"Bachelor's degree (BA)";"";"Informatics";"";"More than once per day";"More than once per day";"One to three times a month";"Less than one to three times a month";"2";"3";"3";"4";"1";"5";"1";"5";"2";"5";"1";"4";"1";"4";"1";"5";"4";"5";"1";"5";"1";"5";"2";"2";"2";"3";"1";"5";"2";"4";"4";"4";"1";"Virtual Keyboard:
Audible/vibrational feedback for key presses.

Model Viewer:
Other object form as the interface, e.g. a cube.";"1068.67";"91.65";"";"";"";"";"";"";"195.95";"";"374.24";"";"319.9";"";"86.93";""
"5";"2019-07-09 16:52:00";"5";"en";"744212448";"2019-07-09 16:25:31";"2019-07-09 16:52:00";"22";"Male";"";"Bachelor's degree (BA)";"";"Other";"Chemistry";"More than once per day";"More than once per day";"More than three times a week";"Less than one to three times a month";"3";"2";"3";"3";"2";"2";"2";"3";"1";"2";"3";"2";"1";"4";"1";"4";"1";"5";"1";"5";"1";"5";"1";"4";"1";"3";"1";"4";"2";"3";"4";"2";"1";"Laser pointer: Increase width of laser pointer.
Virtual Keyboard: Add text cursor, to visualize spaces.";"1590.46";"169.51";"";"";"";"";"";"";"366.11";"";"455.34";"";"525.42";"";"74.08";""
"6";"2019-07-09 18:01:35";"5";"en";"505859956";"2019-07-09 17:38:07";"2019-07-09 18:01:35";"23";"Female";"";"Diploma's degree (Dipl.)";"";"Other";"Public Service";"More than once per day";"More than once per day";"One to three times a week";"Less than one to three times a month";"2";"4";"2";"5";"1";"5";"1";"5";"2";"5";"1";"5";"1";"5";"1";"5";"1";"5";"1";"5";"1";"5";"1";"5";"1";"4";"1";"5";"1";"5";"2";"4";"1";"";"1411.85";"160.11";"";"";"";"";"";"";"432.4";"";"303.99";"";"480.68";"";"34.67";""
"7";"2019-07-09 18:19:08";"5";"en";"594527420";"2019-07-09 18:02:18";"2019-07-09 18:19:08";"28";"Male";"";"Other";"Approbation";"Medicine";"";"More than once per day";"More than once per day";"More than three times a week";"Less than one to three times a month";"3";"3";"5";"5";"1";"5";"1";"5";"1";"5";"1";"5";"1";"5";"1";"5";"1";"5";"1";"5";"1";"5";"1";"3";"2";"4";"1";"4";"1";"1";"3";"5";"1";"Virtual Keyboard: Faster select speed.";"992.49";"107.98";"";"";"";"";"";"";"314.83";"";"163.25";"";"393.02";"";"13.41";""
"10";"2019-07-12 11:11:06";"5";"en";"225544114";"2019-07-12 10:51:23";"2019-07-12 11:11:06";"23";"Male";"";"High school degree or equivalent";"";"Other";"Technical Engineering";"More than once per day";"More than once per day";"Less than one to three times a month";"Less than one to three times a month";"2";"4";"3";"4";"1";"3";"1";"4";"1";"4";"3";"4";"1";"3";"1";"5";"1";"5";"1";"5";"2";"5";"1";"2";"2";"4";"1";"4";"1";"4";"3";"3";"1";"Virtual Keyboard:
Needs feedback when selecting keys, because its not possible to look at keyboard and text at the same time.

Laser Pointer:
Project shadow of selection array onto the selected object, to better indicate where the selection is.

Model Viewer:
Change relative rotation between model and smartphone, so that the z-axis of the model and the smartphones aligns.";"1184.78";"153.31";"";"";"";"";"";"";"176.26";"";"199.2";"";"497.75";"";"158.26";""
"11";"2019-07-12 12:59:15";"5";"en";"791891686";"2019-07-12 12:41:55";"2019-07-12 12:59:15";"22";"Male";"";"High school degree or equivalent";"";"Other";"Electrical Engineering";"More than once per day";"More than once per day";"One to three times a month";"Less than one to three times a month";"3";"3";"1";"4";"1";"5";"1";"5";"1";"5";"2";"5";"1";"4";"2";"5";"1";"4";"1";"5";"3";"4";"1";"2";"1";"2";"1";"5";"1";"4";"3";"3";"1";"";"1042.8";"89.93";"";"";"";"";"";"";"191.87";"";"325.02";"";"428.57";"";"7.41";""
"13";"2019-07-12 14:15:31";"5";"en";"159822201";"2019-07-12 14:04:19";"2019-07-12 14:15:31";"24";"Male";"";"Bachelor's degree (BA)";"";"Other";"Musicology";"More than once per day";"More than once per day";"More than three times a week";"Less than one to three times a month";"4";"4";"2";"4";"2";"4";"4";"5";"2";"4";"1";"5";"3";"5";"1";"5";"1";"5";"1";"5";"2";"5";"1";"4";"4";"4";"5";"4";"2";"4";"4";"5";"1";"Virtual Keyboard:
Switching from the left to the right keyboard side is not possible. Maybe swiping to move the cursor would work better rather than just using the exact position of the finger on the screen.";"676.87";"33.89";"";"";"";"";"";"";"86.72";"";"136.53";"";"322.31";"";"97.42";""
"14";"2019-07-12 14:41:28";"5";"en";"400365394";"2019-07-12 14:19:21";"2019-07-12 14:41:28";"29";"Male";"";"High school degree or equivalent";"";"Other";"Physics";"More than once per day";"More than once per day";"One to three times a week";"Less than one to three times a month";"4";"4";"4";"1";"1";"2";"1";"5";"1";"4";"2";"5";"1";"2";"1";"5";"1";"5";"1";"5";"2";"5";"1";"4";"2";"4";"1";"4";"3";"5";"1";"5";"1";"Laser Pointer:
Smartphone too big.

Virtual Keyboard:
Would be better if fingers were visible using the camera or some other kind of finger tracking.
Maybe use painting and character recognition.";"1329.58";"157.99";"";"";"";"";"";"";"285.47";"";"353.66";"";"381.38";"";"151.08";""
"15";"2019-07-12 15:01:35";"5";"en";"1334024920";"2019-07-12 14:47:46";"2019-07-12 15:01:35";"30";"Male";"";"Bachelor's degree (BA)";"";"Other";"Statistics";"More than once per day";"More than once per day";"One to three times a week";"Less than one to three times a month";"2";"2";"3";"5";"2";"4";"2";"4";"1";"5";"2";"4";"1";"5";"1";"5";"2";"5";"1";"5";"1";"5";"1";"3";"2";"4";"2";"5";"2";"4";"2";"4";"1";"";"831.69";"121.65";"";"";"";"";"";"";"174.23";"";"290.81";"";"239.3";"";"5.7";""
